施設ID, カテゴリID, カテゴリ名, 施設名, よみ, 住所, 郵便番号, 電話, FAX, メールアドレス, 緯度, 経度, URL, 最終更新日, 開館時間, 休館日, 入場料, 説明, 末尾ダミー
"17","23","救急指定病院","金沢脳神経外科病院","かなざわのうしんけいげかびょういん","野々市市郷町262-2","","076-246-5600","076-246-3914","","36.5265361300","136.5877551000","http://www.nouge.net/","1303114015","","","","脳・内・神内　",""
"19","23","救急指定病院","舩木病院","ふなきびょういん","野々市市太平寺4-71","","076-248-6686","076-248-7443","","36.5311007300","136.6067838000","","1302223363","","","","内・外・胃・肛・リハ",""
"20","23","救急指定病院","公立松任石川中央病院","まっとういしかわちゅうおうびょういん","白山市倉光3-8","","076-275-2222","076-248-3264","","36.5107721900","136.5661881000","http://www.mattohp.jp/","1179296961","","","","白山市、川北町、野々市市　医療事務組合　総合病院",""
"21","24","小児科","浅井小児科医院","あさいしょうにかいいん","野々市市本町5-2-18","","076-248-3311","076-246-0392","","36.5313907600","136.6103135000","","1179296961","","","","小",""
"22","24","小児科","清水こどもクリニック","しみずこどもくりにっく","野々市市上林4-509","","076-227-0055","076-227-0750","","36.5059434100","136.6062050000","","1179296961","","","","小　",""
"23","24","小児科","中村小児科医院","なかむらしょうにかいいん","野々市市押野6-179","","076-294-3338","076-294-4250","","36.5450894500","136.6191422000","http://homepage1.nifty.com/nakamurapc/","1179296961","","","","小　",""
"24","25","内科","池田病院","いけだびょういん","野々市市新庄2-10","","076-248-7222","076-248-7261","","36.4972044200","136.6105651000","http://www.hosphy.jp/facilities/01_ikeda.html","1179296961","","","","内　",""
"25","25","内科","押野医院","おしのいいん","野々市市押野6-160","","076-246-1411","076-246-3280","","36.5448894700","136.6188722000","","1179296961","","","","内・循・胃・神内・老　",""
"27","25","内科","金沢南クリニック","かなざわみなみくりにっく","野々市市蓮花寺町1-1","","076-227-5122","076-294-3797","","36.5306905000","136.5910752000","http://www.jintikai.com/intoroduction/","1179296961","","","","内（金沢南ケアセンター：294-3737）　",""
"28","25","内科","喜多内科医院","きたないかいいん","野々市市横宮町7-20","","076-248-0020","076-248-5165","","36.5358504200","136.6183827000","","1179296961","","","","内・小",""
"29","25","内科","熊谷クリニック","くまがいくりにっく","野々市市矢作4-1","","076-246-6800","076-294-2123","","36.5223716900","136.6086241000","","1179296961","","","","内　",""
"30","25","内科","高田内科クリニック","たかだないかくりにっく","野々市市扇が丘10-10","","076-246-3630","076-246-3647","","36.5279014600","136.6290621000","","1179296961","","","","内　",""
"31","25","内科","だいもん内科・腎透析クリニック","だいもんないかじんとうせきくりにっく","野々市市押野1-400","","076-294-0066","076-294-2330","","36.5418291400","136.6168007000","","1181457780","","","","内",""
"32","25","内科","つじ川内科クリニック","つじかわないかくりにっく","野々市市位川251","","076-294-2221","076-294-1415","","36.5238615000","136.6066942000","","1179296961","","","","内・呼・消・循　",""
"33","25","内科","とみたクリニック","とみたくりにっく","野々市市粟田3-55","","076-246-7070","076-246-7561","","36.5139726800","136.6135741000","","1179296961","","","","内・消・外・リハ　",""
"34","25","内科","ふるさわ内科クリニック","ふるさわないかくりにっく","野々市市押野2-54","","076-294-6655","076-294-6659","","36.5403198300","136.6119430000","","1179296961","","","","内・消　",""
"35","25","内科","ゆあさクリニック","ゆあさくりにっく","野々市市御経塚2-272","","076-269-8866","076-269-8313","","36.5473987900","136.5956440000","","1179296961","","","","内・呼・循・外　",""
"36","25","内科","吉光内科医院","よしみつないかいいん","野々市市田尻町2","","076-248-7788","076-248-9998","","36.5321704500","136.5973346000","","1179296961","","","","内　",""
"37","25","内科","はしもと内科クリニック","はしもとないかくりにっく","野々市市上林4-651-1","","076-227-3080","076-227-3081","","36.5043635800","136.6061651000","","1179296961","午前9時から12時30分、午後2時から6時","木曜午後、日・祝日","","内科、消化器科、呼吸器科、循環器科の診察をしています。&lt;br /&gt;地域のホームドクター的役割ができればと思います。お気軽にご相談ください。",""
"38","25","内科","森明弘クリニック","もりあきひろくりにっく","野々市市横宮町67-1　ヴィテンののいち1F","","076-294-5611","076-294-5610","","36.5355004300","136.6167028000","","1303114083","月・火・木・金は9:30~17:30。水・土は9:30~13:00。","日・祝","","内科、消化器科、外科。&lt;br /&gt;胃・大腸内視鏡検査治療を主に診療しています。ポリープは即日切除根治します。",""
"10884","25","内科","ののいちクリニック","ののいちくりにっく","野々市市北西部土地区画整理地内119街区2","","076-214-6300","076-214-6395","","36.5353424800","136.5874493000","http://www.medical-oasis.jp/nonoichi_innai/index.html","1383211436","","","","内・婦",""
"10885","25","内科","やまかわ内科クリニック","やまかわないかくりにっく","野々市市藤平田1-472","","076-246-6650","076-246-6657","","36.5171122600","136.6067183000","http://www.yamakawa-nc.com/","1383211587","","","","内・神内・消",""
"10886","25","内科","よこみやクリニック","よこみやくりにっく","野々市市横宮町86-2","","076-248-0086","076-248-0065","","36.5342950800","136.6167927000","http://www.medical-oasis.jp/nonoichi_innai/index.html","1383211667","","","","内",""
"39","26","外科","大倉外科医院","おおくらげかいいん","野々市市本町3-7-12","","076-248-3263","076-248-3264","","36.5322407400","136.6145831000","","1179296961","","","","胃・外・整・脳・リハ・肛・麻　",""
"41","26","外科","山本クリニック","やまもとくりにっく","野々市市新庄1-273","","076-246-1661","076-246-1550","","36.5019039300","136.6113148000","http://www.yama-clinic.jp/contents.html","1179296961","","","","胃・外・整・肛・内　",""
"42","26","外科","ののいち白山醫院","ののいちはくさんいいん","野々市市太平寺4-45","","076-248-2151","076-246-2137","","36.5321906100","136.6067438000","http://www5a.biglobe.ne.jp/~HakusHp/","1179296961","","","","脳・整・外・胃・内　",""
"43","26","外科","舩木病院","ふなきびょういん","野々市市太平寺4-71","","076-248-6686","076-248-7443","","36.5310307400","136.6067838000","","1302223432","","","","内・外・胃・肛・リハ",""
"10887","26","外科","御経塚クリニック","おきょうづかくりにっく","野々市市御経塚1-450","","076-246-2311","076-227-0801 ","","36.5443202200","136.5958285000","","1383211731","","","","外・呼・循・消・内",""
